Node,Source_Peak,Source_OffPeak,Sink_Peak,Sink_OffPeak,Rep_Count
N1,9.2,7.3,27.9,39.3,2
N2,9.2,7.3,27.9,39.3,2
N3,33.6,87.6,81.7,54.7,1
N4,9.2,7.3,27.9,39.3,2
N5,100.2,114.8,81.5,90.5,2
N6,253.2,150.7,55.5,69.9,1
N7,9.2,7.3,27.9,39.3,2
N8,9.2,7.3,27.9,39.3,2
N9,9.2,7.3,27.9,39.3,2
N10,34.6,24.6,131.3,126.6,2
N11,34.6,24.6,131.3,126.6,2
N12,34.6,24.6,131.3,126.6,2
N13,25.7,35.8,166.1,144.7,1
N14,9.2,7.3,27.9,39.3,2
N15,180,298,171.2,216.7,1
N16,9.2,7.3,27.9,39.3,2
N17,188.6,254.6,278.8,280,1
N18,181.3,142.3,62.4,138.5,1
N19,9.2,7.3,27.9,39.3,2
N20,9.2,7.3,27.9,39.3,2
N21,9.2,7.3,27.9,39.3,2
N22,102.9,187.1,25,81.2,2
N23,93.2,90.5,44.9,51.6,2
N24,93.2,90.5,44.9,51.6,2
N25,9.2,7.3,27.9,39.3,2
N26,9.2,7.3,27.9,39.3,2
N27,9.2,7.3,27.9,39.3,2
N28,141.4,181.9,140.2,243,1
N29,9.2,7.3,27.9,39.3,2
N30,9.2,7.3,27.9,39.3,2
N31,9.2,7.3,27.9,39.3,2
N32,298.6,315.6,83,112.4,1
N33,425.4,402,215.4,211.6,2
N34,166.2,187.4,247.7,207.4,2
N35,50.5,54.7,41.8,23.5,2
N36,117.3,84.7,23,64.1,1
N37,68.4,101.7,3.8,25,2
N38,49.9,60.3,180.3,126,1
N39,21.1,48.6,103.1,157.1,2
N40,9.2,7.3,27.9,39.3,2
N41,9.2,7.3,27.9,39.3,2
N42,53.2,42.1,326.3,230.1,1
N43,9.2,7.3,27.9,39.3,2
N44,153.2,159.4,56.7,153.8,1
N45,9.2,7.3,27.9,39.3,2
N46,9.2,7.3,27.9,39.3,2
N47,49.8,81.1,96,127.7,1
N48,9.2,7.3,27.9,39.3,2
N49,9.2,7.3,27.9,39.3,2
N50,99.9,215.8,145.1,153.8,1
N51,277.6,515.8,146.1,272.5,1
N52,9.2,7.3,27.9,39.3,2
N53,9.2,7.3,27.9,39.3,2
N54,42.3,97.9,153.2,200.8,1
N55,9.2,7.3,27.9,39.3,2
N56,84,105.3,93.3,130.4,1
N57,50.5,54.7,41.8,23.5,2
N58,245.9,316.1,178.4,194.3,1
N59,9.2,7.3,27.9,39.3,2
N60,9.2,7.3,27.9,39.3,2
N61,9.2,7.3,27.9,39.3,2
N62,9.2,7.3,27.9,39.3,2
N63,9.2,7.3,27.9,39.3,2
N64,43.8,86.3,203.4,124,1
N65,9.2,7.3,27.9,39.3,2
N66,36.9,31.5,56,38.9,1
N67,104.1,91.5,102.8,146.2,1
N68,191.7,182,541.4,528.4,1
N69,9.2,7.3,27.9,39.3,2
N70,9.2,7.3,27.9,39.3,2
N71,9.2,7.3,27.9,39.3,2
N72,9.2,7.3,27.9,39.3,2
N73,9.2,7.3,27.9,39.3,2
N74,9.2,7.3,27.9,39.3,2
N75,9.2,7.3,27.9,39.3,2
N76,9.2,7.3,27.9,39.3,2
N77,9.2,7.3,27.9,39.3,2
N78,9.2,7.3,27.9,39.3,2
N79,9.2,7.3,27.9,39.3,2
N80,9.2,7.3,27.9,39.3,2
N81,123.9,33.7,622.3,656.9,1
N82,9.2,7.3,27.9,39.3,2
N83,128.7,157.3,171.7,232.4,1
N84,9.2,7.3,27.9,39.3,2
N85,78.1,156.5,82.7,258.4,2
N86,142.8,180,206.8,261.4,2
N87,68.4,101.7,3.8,25,2
N88,0,14.1,87.6,75.5,1
N89,74.9,73.7,29.7,31.5,1
N90,431.2,436.2,87.8,144,1
N91,139.4,127.2,90.9,50.2,1
N92,124.1,212,79,59.7,1
N93,8.2,22.1,184,193.6,1
N94,113.8,115.7,107.8,343.4,2
N95,26.7,145.8,95.5,184.1,1
N96,39.6,117.9,112.2,202.4,1
N97,382.1,1177.1,187.7,96.3,1
N98,49.1,97.3,130.3,63.4,1
N99,189.1,161.4,71.1,86.2,1
N100,33.9,36.9,73.6,80.5,1
N101,718.1,477.5,98.1,249.6,1
N102,125,100.7,250.7,183.7,2
N103,54.7,52.8,118.7,111.6,1
N104,707.2,576.5,112.7,69.1,1
N105,217.1,140.5,373,306.2,1
N106,82.7,62.1,127.8,177.5,1
N107,134.3,142.9,67.9,146.2,2
N108,68.6,62.5,99.6,55.7,1
N109,82.1,116.9,83.3,155.1,1
N110,134.3,142.9,67.9,146.2,2
N111,92.7,165.5,412.3,453,1
N112,75.8,53.6,130.7,100.4,1
N113,59.2,60.8,36.4,42,2
N114,59.2,60.8,36.4,42,2
N115,59.2,60.8,36.4,42,2
N116,59.2,60.8,36.4,42,2
N117,59.2,60.8,36.4,42,2
N118,59.2,60.8,36.4,42,2
N119,59.2,60.8,36.4,42,2
N120,59.2,60.8,36.4,42,2
N121,59.2,60.8,36.4,42,2
N122,59.2,60.8,36.4,42,2
N123,143.1,206,18,45,1
N124,27.3,14.5,14.4,57.9,2
N125,27.3,14.5,14.4,57.9,2
N126,27.3,14.5,14.4,57.9,2
N127,27.3,14.5,14.4,57.9,2
N128,191.2,289,176.1,268.7,1
N129,71.4,305.6,97.6,368.5,1
N130,248.1,217.6,99.3,72.9,1
N131,39.6,70.2,28.5,24.6,1
N132,157.9,98.6,171.4,241.3,1
N133,139.2,158.7,53.9,72,1
N134,74.9,130.6,205,141.7,1
N135,237.3,233.1,297.2,335.7,1
N136,246.1,235.1,460.8,441.5,1
N137,78.1,104.8,230,179.4,1
N138,15.6,24.9,39.2,36.5,1
N139,238.2,211.9,55.2,40.4,1
N140,90.7,112.8,130.3,140.5,1
N141,23.5,57.7,107.6,159.9,1
N142,36.3,51.3,92.6,116.1,1
N143,20.7,7.3,229.9,247,1
N144,90.7,144.6,45.6,85.3,1
N145,6.8,9.5,281,309.9,1
N146,105.2,97.2,58.8,94.1,1
N147,72.6,86.6,125.9,248.8,1
N148,4.4,71.9,156.5,94.4,1
N149,36.7,71.2,65.9,140.1,1
N150,99.8,148.1,157.2,136.5,2
N151,44.4,72.2,47.4,71.5,2
N152,44.4,72.2,47.4,71.5,2
N153,44.4,72.2,47.4,71.5,2
N154,44.4,72.2,47.4,71.5,2
N155,184.7,171.5,53,73.5,1
N156,99.8,148.1,157.2,136.5,2
N157,213.9,166.2,233.5,172.7,1
N158,237.9,217.1,84.4,74.4,1
N159,56.5,31.7,56.4,51.8,1
N160,218.1,149.3,43.7,89.8,1
N161,99.8,148.1,157.2,136.5,2
N162,95,19.9,194,98,1
N163,68.1,98.3,43.1,68.7,2
N164,68.1,98.3,43.1,68.7,2
N165,68.1,98.3,43.1,68.7,2
N166,99.8,148.1,157.2,136.5,2
N167,122.3,71.4,213.8,209.5,1
N168,79.1,253.3,128.4,152.3,1
N169,99.2,144,25.9,30.1,1
N170,27.9,36.9,8.6,11.1,1
N171,39.1,31.3,93.4,82.3,2
N172,25.8,20.2,35.4,11.4,2
N173,25.8,20.2,35.4,11.4,2
N174,25.8,20.2,35.4,11.4,2
N175,25.8,20.2,35.4,11.4,2
N176,39.1,31.3,93.4,82.3,2
N177,39.1,31.3,93.4,82.3,2
N178,27.8,326.3,153,203.3,1
N179,29.9,22.5,16.5,7.2,1
N180,238,248.2,141.7,112.8,2
N181,512.6,483.5,143.8,171.2,2
N182,512.6,483.5,143.8,171.2,2
N183,32.4,13.5,37.8,32.9,1
N184,53.7,5.4,110.6,62.1,1
N185,59.5,182.4,496.5,617.1,2
N186,93.8,340.9,182.9,492.3,2
N187,127.9,132.9,25.4,43.5,1
N188,37.9,55,148.3,128.5,1
N189,244.9,188.1,70.7,22.5,2
N190,84.7,98.3,159.9,120.9,1
N191,69.5,28.2,146.9,87.7,2
N192,118.1,147.3,13.9,33.7,3
N193,113,42.3,51.9,94,2
N194,35.9,25,69.6,84.6,2
N195,213,195.6,31.5,8.9,2
N196,213,195.6,31.5,8.9,2
N197,193.8,227.6,155,111.3,1
N198,152.7,197.7,108,128.3,2
N199,152.7,197.7,108,128.3,2
N200,175.9,241.4,57.4,111.4,2
N201,118.2,102.8,15.6,11.7,2
N202,212.5,166.7,40.8,26.1,2
N203,212.5,166.7,40.8,26.1,2
N204,406.4,592.7,13.4,112,1
N205,233.7,516.6,48.7,58.4,1
N206,178.4,73.3,108.7,256.8,1
N207,205.5,206.1,57.2,106.7,1
N208,124.8,52.7,98.7,103.3,1
N209,389.5,230.8,54.2,73,2
N210,279.7,128.6,27.6,109.9,1
N211,64.2,127.1,369.7,429.5,1
N212,190.2,150.5,314.4,306.5,3
N213,125.1,82.6,156.5,159.9,1
N214,45.6,83.8,102,91,2
N215,45.6,83.8,102,91,2
N216,222,60.5,47.3,38.4,1
N217,33.7,64.6,368.6,358.8,1
N218,137,148,658.3,647.2,1
N219,145.3,168,133.4,484.8,2
N220,82.7,161.6,141.2,192.3,3
N221,121.3,245.3,236.1,239.2,1
N222,192.8,282.7,96.6,117.1,1
N223,48.7,29.7,123.6,141.4,3
N224,432.7,476.6,23,40.2,1
N225,61.6,154.2,78.8,160.8,2
N226,43.8,77.8,59.3,65.6,2
N227,44.7,252.1,134.8,168.6,1
N228,198.8,193.8,79.6,74.6,1
N229,238.6,205.5,157.7,96.6,1
N230,25.8,15.6,23,25.4,1
N231,71.1,60.1,105.9,143.2,2
N232,26.3,40.6,204.9,287.2,1
N233,211.3,125.2,143.1,92.3,2
N234,186.5,280.5,55.8,90.9,1
N235,71.1,88.9,149.3,132.8,1
N236,136.8,51.7,45,136.4,1
N237,93.6,26.1,5.1,90.5,2
N238,93.6,26.1,5.1,90.5,2
N239,93.6,26.1,5.1,90.5,2
N240,43.8,77.8,59.3,65.6,2
N241,71.1,60.1,105.9,143.2,2
N242,190.1,167.5,89,73.6,2
N243,190.1,167.5,89,73.6,2
N244,132.2,136.2,115.7,85.7,1
N245,766.6,502,566.8,596.7,1
N246,43.8,77.8,59.3,65.6,2
N247,159.9,166.4,61.6,103.6,1
N248,97.7,91.8,145.4,133,2
N249,43.8,77.8,59.3,65.6,2
N250,36.9,34.4,40.4,44.8,2
N251,236,376.9,135.6,282,1
N252,42.9,32.4,82.8,74,2
N253,42.9,32.4,82.8,74,2
N254,42.9,32.4,82.8,74,2
N255,42.9,32.4,82.8,74,2
N256,120.9,91.4,158.9,183.6,3
N257,50.4,292.8,388.2,27.6,1
N258,88,61.6,445.3,350,3
N259,86.5,58.5,153.9,403.4,1
N260,31.4,100.6,126.9,81.8,1
N261,23.1,68.2,46.8,89.5,1
N262,34.5,39.3,37.2,43.7,1
N263,211.3,125.2,143.1,92.3,2
N264,226.5,224,115.1,285,1
N265,26.6,12.5,283.1,268.8,1
N266,421.3,247.4,355.5,287.6,1
N267,36.9,34.4,40.4,44.8,2
